issue_number,fix_commit_sha,changed_file,parent_commit_sha,note
43754,302fa3db084fbd138089e1127fe103ed259c9755,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/federation/ldap/LDAPProvidersIntegrationTest.java,b07e2b86660bdd812dd048d40e5a07c58cc4b1cf,SZZ-lite file-level parent mapping only
43212,39e1e40be428e9cdd98c98866655641833a62413,docs/documentation/server_development/topics/user-storage/import.adoc,c0e34fa45f9c1be786a4de18c3cc4f157c35586a,SZZ-lite file-level parent mapping only
43883,c23d2af65c014793033991fc04050423889dee52,services/src/main/java/org/keycloak/services/resources/admin/fgap/RealmPermissionsV2.java,39e1e40be428e9cdd98c98866655641833a62413,SZZ-lite file-level parent mapping only
43883,c23d2af65c014793033991fc04050423889dee52,tests/base/src/test/java/org/keycloak/tests/admin/authz/fgap/RealmRoleAdminTest.java,39e1e40be428e9cdd98c98866655641833a62413,SZZ-lite file-level parent mapping only
43564,ef3de183dfc21257f7ddc3ff777ddf0118fd92a7,model/jpa/src/main/resources/META-INF/jpa-changelog-2.5.0.xml,c23d2af65c014793033991fc04050423889dee52,SZZ-lite file-level parent mapping only
43639,c28cde359cd4d1aaa51c512d4d55d90d5f268b7d,federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/query/internal/LDAPQuery.java,36011008e8b59fcb33630f1e88b44cccaae4d2ab,SZZ-lite file-level parent mapping only
43639,c28cde359cd4d1aaa51c512d4d55d90d5f268b7d,model/storage-private/src/main/java/org/keycloak/storage/UserStorageManager.java,36011008e8b59fcb33630f1e88b44cccaae4d2ab,SZZ-lite file-level parent mapping only
43639,c28cde359cd4d1aaa51c512d4d55d90d5f268b7d,server-spi/src/main/java/org/keycloak/storage/StorageUnavailableException.java,36011008e8b59fcb33630f1e88b44cccaae4d2ab,SZZ-lite file-level parent mapping only
43639,c28cde359cd4d1aaa51c512d4d55d90d5f268b7d,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/federation/ldap/UserStorageGracefulDegradationLdapTest.java,36011008e8b59fcb33630f1e88b44cccaae4d2ab,SZZ-lite file-level parent mapping only
43993,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,services/src/main/java/org/keycloak/theme/beans/MessageFormatterMethod.java,ded372a57f90078e5ff0ee308165f6343c1d8e41,SZZ-lite file-level parent mapping only
43993,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,services/src/test/java/org/keycloak/theme/beans/MessageFormatterMethodTest.java,ded372a57f90078e5ff0ee308165f6343c1d8e41,SZZ-lite file-level parent mapping only
43323,39964befefc41eec3330fcf5c94f5e1ea498d075,model/infinispan/src/main/java/org/keycloak/marshalling/KeycloakModelSchema.java,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,SZZ-lite file-level parent mapping only
43323,39964befefc41eec3330fcf5c94f5e1ea498d075,model/infinispan/src/main/java/org/keycloak/marshalling/Marshalling.java,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,SZZ-lite file-level parent mapping only
43323,39964befefc41eec3330fcf5c94f5e1ea498d075,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/InfinispanUserSessionProvider.java,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,SZZ-lite file-level parent mapping only
43323,39964befefc41eec3330fcf5c94f5e1ea498d075,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/PersistentUserSessionProvider.java,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,SZZ-lite file-level parent mapping only
43323,39964befefc41eec3330fcf5c94f5e1ea498d075,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/ClientSessionPersistentChangelogBasedTransaction.java,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,SZZ-lite file-level parent mapping only
43323,39964befefc41eec3330fcf5c94f5e1ea498d075,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/entities/AuthenticatedClientSessionEntity.java,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,SZZ-lite file-level parent mapping only
43323,39964befefc41eec3330fcf5c94f5e1ea498d075,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/stream/ClientSessionFilterByUser.java,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,SZZ-lite file-level parent mapping only
43323,39964befefc41eec3330fcf5c94f5e1ea498d075,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/stream/RemoveKeyConsumer.java,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,SZZ-lite file-level parent mapping only
43323,39964befefc41eec3330fcf5c94f5e1ea498d075,testsuite/model/src/test/java/org/keycloak/testsuite/model/session/UserSessionPersisterProviderTest.java,f9fd9bce9e1171d445604b2adb70d24dbf1c7531,SZZ-lite file-level parent mapping only
44117,fb13aa50390ddfb03cce2bd2f798e5547d2c433c,testsuite/integration-arquillian/servers/auth-server/services/testsuite-providers/src/main/java/org/keycloak/testsuite/util/ServerURLs.java,6be362de9555ed8ce5341ada2d80d989fee56850,SZZ-lite file-level parent mapping only
44117,fb13aa50390ddfb03cce2bd2f798e5547d2c433c,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/docker/DockerClientTest.java,6be362de9555ed8ce5341ada2d80d989fee56850,SZZ-lite file-level parent mapping only
43738,a7c02076a1b8870bb24946c7bd445953f858e8f6,services/src/main/java/org/keycloak/authentication/requiredactions/UpdateEmail.java,fa3e964df7c9c8741f889c9b8705e6c5f5c05b2a,SZZ-lite file-level parent mapping only
43738,a7c02076a1b8870bb24946c7bd445953f858e8f6,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/actions/RequiredActionUpdateEmailTestWithVerificationTest.java,fa3e964df7c9c8741f889c9b8705e6c5f5c05b2a,SZZ-lite file-level parent mapping only
44113,9d728dd6866c5b67bea72c0f8ce7a5cc18d0cdc4,services/src/main/java/org/keycloak/authentication/actiontoken/inviteorg/InviteOrgActionTokenHandler.java,26bdee3052026facc1f6b7b8a36785b9451dc31d,SZZ-lite file-level parent mapping only
44113,9d728dd6866c5b67bea72c0f8ce7a5cc18d0cdc4,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/organization/admin/OrganizationInvitationLinkTest.java,26bdee3052026facc1f6b7b8a36785b9451dc31d,SZZ-lite file-level parent mapping only
44113,9d728dd6866c5b67bea72c0f8ce7a5cc18d0cdc4,themes/src/main/resources/theme/base/login/messages/messages_en.properties,26bdee3052026facc1f6b7b8a36785b9451dc31d,SZZ-lite file-level parent mapping only
44163,5ff2e22f18a52649f0a27b341bc9e0118b3ac920,core/src/main/java/org/keycloak/representations/workflows/AbstractWorkflowComponentRepresentation.java,7acf2ceccb7be9d62b6bd99f2156af99103fa46b,SZZ-lite file-level parent mapping only
44163,5ff2e22f18a52649f0a27b341bc9e0118b3ac920,core/src/main/java/org/keycloak/representations/workflows/MultivaluedHashMapValueSerializer.java,7acf2ceccb7be9d62b6bd99f2156af99103fa46b,SZZ-lite file-level parent mapping only
44163,5ff2e22f18a52649f0a27b341bc9e0118b3ac920,core/src/main/java/org/keycloak/representations/workflows/WorkflowRepresentation.java,7acf2ceccb7be9d62b6bd99f2156af99103fa46b,SZZ-lite file-level parent mapping only
44163,5ff2e22f18a52649f0a27b341bc9e0118b3ac920,core/src/main/java/org/keycloak/representations/workflows/WorkflowStepRepresentation.java,7acf2ceccb7be9d62b6bd99f2156af99103fa46b,SZZ-lite file-level parent mapping only
43948,5c04124d86cae3b9944359ae290875cd6ae67a3b,js/apps/admin-ui/src/client-scopes/details/MappingDetails.tsx,3288f83dc99e99da23065c485309270cb61e2342,SZZ-lite file-level parent mapping only
43948,5c04124d86cae3b9944359ae290875cd6ae67a3b,js/apps/admin-ui/test/client-scope/mappers.spec.ts,3288f83dc99e99da23065c485309270cb61e2342,SZZ-lite file-level parent mapping only
43948,5c04124d86cae3b9944359ae290875cd6ae67a3b,js/apps/admin-ui/test/client-scope/mappers.ts,3288f83dc99e99da23065c485309270cb61e2342,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,docs/documentation/upgrading/topics/changes/changes-26_5_0.adoc,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,js/apps/admin-ui/test/clients/authorization.spec.ts,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,js/apps/admin-ui/test/clients/authorization.ts,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,js/apps/admin-ui/test/utils/AdminClient.ts,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAResourceServerStore.java,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,services/src/main/java/org/keycloak/authorization/admin/ResourceServerService.java,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/authz/AuthzClientCredentialsTest.java,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/authz/EntitlementAPITest.java,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/authz/PermissionClaimTest.java,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/authz/admin/AuthorizationTest.java,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
43867,748b58bf6457f2be5cebda04feb3d0548682c75d,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/authz/admin/ExportAuthorizationSettingsTest.java,5c04124d86cae3b9944359ae290875cd6ae67a3b,SZZ-lite file-level parent mapping only
